breed,accuracy
n02085620-Chihuahua,0.6
n02085782-Japanese_spaniel,0.8
n02085936-Maltese_dog,0.4
n02086079-Pekinese,0.6
n02086240-Shih-Tzu,0.6
n02086646-Blenheim_spaniel,0.2
n02086910-papillon,1.0
n02087046-toy_terrier,0.8
n02087394-Rhodesian_ridgeback,0.4
n02088094-Afghan_hound,1.0
n02088238-basset,0.6
n02088364-beagle,0.4
n02088466-bloodhound,0.6
n02088632-bluetick,0.8
n02089078-black-and-tan_coonhound,1.0
n02089867-Walker_hound,0.4
n02089973-English_foxhound,0.8
n02090379-redbone,0.4
n02090622-borzoi,0.6
n02090721-Irish_wolfhound,0.4
n02091032-Italian_greyhound,0.4
n02091134-whippet,0.6
n02091244-Ibizan_hound,0.6
n02091467-Norwegian_elkhound,1.0
n02091635-otterhound,0.8
n02091831-Saluki,0.4
n02092002-Scottish_deerhound,0.6
n02092339-Weimaraner,0.6
n02093256-Staffordshire_bullterrier,0.0
n02093428-American_Staffordshire_terrier,0.2
n02093647-Bedlington_terrier,1.0
n02093754-Border_terrier,0.8
n02093859-Kerry_blue_terrier,1.0
n02093991-Irish_terrier,0.8
n02094114-Norfolk_terrier,0.4
n02094258-Norwich_terrier,0.4
n02094433-Yorkshire_terrier,0.6
n02095314-wire-haired_fox_terrier,0.6
n02095570-Lakeland_terrier,0.4
n02095889-Sealyham_terrier,0.8
n02096051-Airedale,1.0
n02096177-cairn,0.4
n02096294-Australian_terrier,0.6
n02096437-Dandie_Dinmont,0.8
n02096585-Boston_bull,0.6
n02097047-miniature_schnauzer,0.6
n02097130-giant_schnauzer,0.4
n02097209-standard_schnauzer,0.2
n02097298-Scotch_terrier,0.2
n02097474-Tibetan_terrier,0.8
n02097658-silky_terrier,0.4
n02098105-soft-coated_wheaten_terrier,0.8
n02098286-West_Highland_white_terrier,0.8
n02098413-Lhasa,0.8
n02099267-flat-coated_retriever,0.8
n02099429-curly-coated_retriever,0.6
n02099601-golden_retriever,0.8
n02099712-Labrador_retriever,0.2
n02099849-Chesapeake_Bay_retriever,0.6
n02100236-German_short-haired_pointer,1.0
n02100583-vizsla,0.8
n02100735-English_setter,0.6
n02100877-Irish_setter,0.8
n02101006-Gordon_setter,1.0
n02101388-Brittany_spaniel,0.6
n02101556-clumber,0.8
n02102040-English_springer,0.6
n02102177-Welsh_springer_spaniel,0.2
n02102318-cocker_spaniel,0.4
n02102480-Sussex_spaniel,1.0
n02102973-Irish_water_spaniel,1.0
n02104029-kuvasz,0.8
n02104365-schipperke,0.8
n02105056-groenendael,0.8
n02105162-malinois,0.8
n02105251-briard,0.0
n02105412-kelpie,0.0
n02105505-komondor,1.0
n02105641-Old_English_sheepdog,0.4
n02105855-Shetland_sheepdog,0.8
n02106030-collie,0.4
n02106166-Border_collie,0.6
n02106382-Bouvier_des_Flandres,0.6
n02106550-Rottweiler,1.0
n02106662-German_shepherd,0.2
n02107142-Doberman,0.4
n02107312-miniature_pinscher,0.8
n02107574-Greater_Swiss_Mountain_dog,0.4
n02107683-Bernese_mountain_dog,0.6
n02107908-Appenzeller,0.2
n02108000-EntleBucher,1.0
n02108089-boxer,0.8
n02108422-bull_mastiff,0.8
n02108551-Tibetan_mastiff,0.6
n02108915-French_bulldog,0.4
n02109047-Great_Dane,0.2
n02109525-Saint_Bernard,1.0
n02109961-Eskimo_dog,0.2
n02110063-malamute,1.0
n02110185-Siberian_husky,0.8
n02110627-affenpinscher,0.6
n02110806-basenji,0.2
n02110958-pug,0.2
n02111129-Leonberg,0.4
n02111277-Newfoundland,0.8
n02111500-Great_Pyrenees,0.6
n02111889-Samoyed,0.4
n02112018-Pomeranian,0.8
n02112137-chow,0.6
n02112350-keeshond,1.0
n02112706-Brabancon_griffon,1.0
n02113023-Pembroke,0.6
n02113186-Cardigan,0.2
n02113624-toy_poodle,0.4
n02113712-miniature_poodle,0.2
n02113799-standard_poodle,0.4
n02113978-Mexican_hairless,0.6
n02115641-dingo,1.0
n02115913-dhole,1.0
n02116738-African_hunting_dog,1.0
