model,deployment,id,breed,latency_ms,error
base,gpt-4o,0,Affenpinscher,2008.9939999998023,
base,gpt-4o,1,Affenpinscher,2026.8028000000413,
base,gpt-4o,2,Affenpinscher,1626.0234999999739,
base,gpt-4o,3,Affenpinscher,1312.8444999993008,
base,gpt-4o,4,Affenpinscher,1603.2003999998778,
base,gpt-4o,5,Afghan Hound,1595.5353999997897,
base,gpt-4o,6,Afghan Hound,1215.257500000007,
base,gpt-4o,7,Afghan Hound,1728.862900000422,
base,gpt-4o,8,Afghan Hound,1271.3173000001916,
base,gpt-4o,9,Afghan Hound,1803.7522999993598,
base,gpt-4o,10,African Hunting Dog,1801.72709999988,
base,gpt-4o,11,African Hunting Dog,1763.6794999998529,
base,gpt-4o,12,African Hunting Dog,3252.474099999745,
base,gpt-4o,13,African Hunting Dog,1667.4431000001277,
base,gpt-4o,14,African Hunting Dog,1768.477200000234,
base,gpt-4o,15,Airedale,1597.0266999993328,
base,gpt-4o,16,Airedale,1457.0395000000644,
base,gpt-4o,17,Airedale,1692.5202000002173,
base,gpt-4o,18,Airedale,1866.8360000001485,
base,gpt-4o,19,Airedale,1469.4305000002714,
base,gpt-4o,20,American Staffordshire Terrier,1300.7704000001468,
base,gpt-4o,21,American Staffordshire Terrier,1685.9918999998627,
base,gpt-4o,22,American Staffordshire Terrier,1532.3021999993216,
base,gpt-4o,23,American Staffordshire Terrier,1635.846400000446,
base,gpt-4o,24,American Staffordshire Terrier,1664.0617000002749,
base,gpt-4o,25,Appenzeller,1498.4447000006185,
base,gpt-4o,26,Appenzeller,1711.783199999445,
base,gpt-4o,27,Appenzeller,1520.4829999993308,
base,gpt-4o,28,Appenzeller,2087.5906000001123,
base,gpt-4o,29,Appenzeller,1788.5502999997698,
base,gpt-4o,30,Australian Terrier,1319.3406999998842,
base,gpt-4o,31,Australian Terrier,1551.603800000521,
base,gpt-4o,32,Australian Terrier,1349.4385000003604,
base,gpt-4o,33,Australian Terrier,1447.2507000000405,
base,gpt-4o,34,Australian Terrier,1317.7911000002496,
base,gpt-4o,35,Basenji,1488.928499999929,
base,gpt-4o,36,Basenji,2239.082299999609,
base,gpt-4o,37,Basenji,1841.2994999998773,
base,gpt-4o,38,Basenji,1382.9613999996582,
base,gpt-4o,39,Basenji,1826.5099000000191,
base,gpt-4o,40,Basset,1206.2437999993563,
base,gpt-4o,41,Basset,1492.4842000000353,
base,gpt-4o,42,Basset,1697.1441999994568,
base,gpt-4o,43,Basset,1654.460100000506,
base,gpt-4o,44,Basset,1691.2355000004027,
base,gpt-4o,45,Beagle,1597.4999999998545,
base,gpt-4o,46,Beagle,2522.484500000246,
base,gpt-4o,47,Beagle,2048.030099999778,
base,gpt-4o,48,Beagle,1267.692800000077,
base,gpt-4o,49,Beagle,1329.0272000003824,
base,gpt-4o,50,Bedlington Terrier,1822.016999999505,
base,gpt-4o,51,Bedlington Terrier,1908.6485999996512,
base,gpt-4o,52,Bedlington Terrier,1736.851700000443,
base,gpt-4o,53,Bedlington Terrier,1701.5227000001687,
base,gpt-4o,54,Bedlington Terrier,1404.5975999997609,
base,gpt-4o,55,Bernese Mountain Dog,1946.936999999707,
base,gpt-4o,56,Bernese Mountain Dog,2487.497600000097,
base,gpt-4o,57,Bernese Mountain Dog,1627.1994999997332,
base,gpt-4o,58,Bernese Mountain Dog,1715.4287000003023,
base,gpt-4o,59,Bernese Mountain Dog,1579.8666000000594,
base,gpt-4o,60,Black-And-Tan Coonhound,2166.51020000063,
base,gpt-4o,61,Black-And-Tan Coonhound,1269.8484000002281,
base,gpt-4o,62,Black-And-Tan Coonhound,1915.5408999995416,
base,gpt-4o,63,Black-And-Tan Coonhound,1870.634699999755,
base,gpt-4o,64,Black-And-Tan Coonhound,1547.461299999668,
base,gpt-4o,65,Blenheim Spaniel,1341.6997000003903,
base,gpt-4o,66,Blenheim Spaniel,1480.866199999582,
base,gpt-4o,67,Blenheim Spaniel,1173.0480999995052,
base,gpt-4o,68,Blenheim Spaniel,1296.5469000000667,
base,gpt-4o,69,Blenheim Spaniel,1138.4765000002517,
base,gpt-4o,70,Bloodhound,1691.9414999993023,
base,gpt-4o,71,Bloodhound,1284.4678000001295,
base,gpt-4o,72,Bloodhound,1269.6661999998469,
base,gpt-4o,73,Bloodhound,1552.3340999998254,
base,gpt-4o,74,Bloodhound,1277.0916999998008,
base,gpt-4o,75,Bluetick,1631.7415000003166,
base,gpt-4o,76,Bluetick,1287.9356999992524,
base,gpt-4o,77,Bluetick,1637.502599999607,
base,gpt-4o,78,Bluetick,1610.5176999999458,
base,gpt-4o,79,Bluetick,1368.2351999996172,
base,gpt-4o,80,Border Collie,1627.452099999573,
base,gpt-4o,81,Border Collie,1516.4416000006895,
base,gpt-4o,82,Border Collie,1537.52219999933,
base,gpt-4o,83,Border Collie,1261.9328999999198,
base,gpt-4o,84,Border Collie,1615.7100999998875,
base,gpt-4o,85,Border Terrier,1432.7312000004895,
base,gpt-4o,86,Border Terrier,2001.6310999999405,
base,gpt-4o,87,Border Terrier,1593.6078000004272,
base,gpt-4o,88,Border Terrier,1575.4249000001437,
base,gpt-4o,89,Border Terrier,1395.4360999996425,
base,gpt-4o,90,Borzoi,1255.8365000004414,
base,gpt-4o,91,Borzoi,1667.9002000000764,
base,gpt-4o,92,Borzoi,1559.7834999998668,
base,gpt-4o,93,Borzoi,1317.8578999995807,
base,gpt-4o,94,Borzoi,1731.3534999993863,
base,gpt-4o,95,Boston Bull,1750.7283000004463,
base,gpt-4o,96,Boston Bull,1723.8400999995065,
base,gpt-4o,97,Boston Bull,1816.1208999999872,
base,gpt-4o,98,Boston Bull,1570.369699999901,
base,gpt-4o,99,Boston Bull,1538.405999999668,
base,gpt-4o,100,Bouvier Des Flandres,1464.8188999999547,
